realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2006-06-28,78375
2019-12-23,2019-12-23,2006-07-05,78392
2019-12-23,2019-12-23,2006-07-12,78406
2019-12-23,2019-12-23,2006-07-19,78419
2019-12-23,2019-12-23,2006-07-26,78433
2019-12-23,2019-12-23,2006-08-02,79704
2019-12-23,2019-12-23,2006-08-09,79710
2019-12-23,2019-12-23,2006-08-16,82830
2019-12-23,2019-12-23,2006-08-23,81279
2019-12-23,2019-12-23,2006-08-30,81285
2019-12-23,2019-12-23,2006-09-06,81294
2019-12-23,2019-12-23,2006-09-13,81531
2019-12-23,2019-12-23,2006-09-20,81540
2019-12-23,2019-12-23,2006-09-27,81550
2019-12-23,2019-12-23,2006-10-04,81557
2019-12-23,2019-12-23,2006-10-11,81563
2019-12-23,2019-12-23,2006-10-18,81569
2019-12-23,2019-12-23,2006-10-25,81575
2019-12-23,2019-12-23,2006-11-01,81578
2019-12-23,2019-12-23,2006-11-08,81575
2019-12-23,2019-12-23,2006-11-15,83853
2019-12-23,2019-12-23,2006-11-22,78726
2019-12-23,2019-12-23,2006-11-29,79482
2019-12-23,2019-12-23,2006-12-06,79790
2019-12-23,2019-12-23,2006-12-13,79773
2019-12-23,2019-12-23,2006-12-20,80505
2019-12-23,2019-12-23,2006-12-27,80489
2019-12-23,2019-12-23,2007-01-03,80477
2019-12-23,2019-12-23,2007-01-10,80473
2019-12-23,2019-12-23,2007-01-17,82717
2019-12-23,2019-12-23,2007-01-24,80464
2019-12-23,2019-12-23,2007-01-31,81647
2019-12-23,2019-12-23,2007-02-07,81652
2019-12-23,2019-12-23,2007-02-14,81657
2019-12-23,2019-12-23,2007-02-21,82489
2019-12-23,2019-12-23,2007-02-28,82494
2019-12-23,2019-12-23,2007-03-07,82504
2019-12-23,2019-12-23,2007-03-14,82514
2019-12-23,2019-12-23,2007-03-21,82524
2019-12-23,2019-12-23,2007-03-28,82534
2019-12-23,2019-12-23,2007-04-04,82549
2019-12-23,2019-12-23,2007-04-11,83207
2019-12-23,2019-12-23,2007-04-18,83225
2019-12-23,2019-12-23,2007-04-25,83244
2019-12-23,2019-12-23,2007-05-02,83265
2019-12-23,2019-12-23,2007-05-09,83296
2019-12-23,2019-12-23,2007-05-16,89676
2019-12-23,2019-12-23,2007-05-23,82190
2019-12-23,2019-12-23,2007-05-30,82220
2019-12-23,2019-12-23,2007-06-06,82244
2019-12-23,2019-12-23,2007-06-13,82267
2019-12-23,2019-12-23,2007-06-20,82289
2019-12-23,2019-12-23,2007-06-27,82312
2019-12-23,2019-12-23,2007-07-04,82333
2019-12-23,2019-12-23,2007-07-11,82354
2019-12-23,2019-12-23,2007-07-18,82374
2019-12-23,2019-12-23,2007-07-25,82395
2019-12-23,2019-12-23,2007-08-01,83748
2019-12-23,2019-12-23,2007-08-08,83755
2019-12-23,2019-12-23,2007-08-15,95608
2019-12-23,2019-12-23,2007-08-22,86192
2019-12-23,2019-12-23,2007-08-29,86200
2019-12-23,2019-12-23,2007-09-05,86201
2019-12-23,2019-12-23,2007-09-12,86200
2019-12-23,2019-12-23,2007-09-19,86199
2019-12-23,2019-12-23,2007-09-26,86198
2019-12-23,2019-12-23,2007-10-03,86195
2019-12-23,2019-12-23,2007-10-10,86188
2019-12-23,2019-12-23,2007-10-17,86181
2019-12-23,2019-12-23,2007-10-24,86174
2019-12-23,2019-12-23,2007-10-31,86167
2019-12-23,2019-12-23,2007-11-07,86178
2019-12-23,2019-12-23,2007-11-14,86188
2019-12-23,2019-12-23,2007-11-21,88767
2019-12-23,2019-12-23,2007-11-28,88776
2019-12-23,2019-12-23,2007-12-05,88785
2019-12-23,2019-12-23,2007-12-12,88793
2019-12-23,2019-12-23,2007-12-19,88801
2019-12-23,2019-12-23,2007-12-26,88809
2019-12-23,2019-12-23,2008-01-02,88821
2019-12-23,2019-12-23,2008-01-09,88843
2019-12-23,2019-12-23,2008-01-16,91278
2019-12-23,2019-12-23,2008-01-23,88887
2019-12-23,2019-12-23,2008-01-30,88909
2019-12-23,2019-12-23,2008-02-06,89887
2019-12-23,2019-12-23,2008-02-13,89884
2019-12-23,2019-12-23,2008-02-20,94177
2019-12-23,2019-12-23,2008-02-27,94174
2019-12-23,2019-12-23,2008-03-05,94187
2019-12-23,2019-12-23,2008-03-12,94207
2019-12-23,2019-12-23,2008-03-19,94226
2019-12-23,2019-12-23,2008-03-26,94246
2019-12-23,2019-12-23,2008-04-02,94263
2019-12-23,2019-12-23,2008-04-09,94275
2019-12-23,2019-12-23,2008-04-16,94287
2019-12-23,2019-12-23,2008-04-23,94299
2019-12-23,2019-12-23,2008-04-30,94311
2019-12-23,2019-12-23,2008-05-07,94346
2019-12-23,2019-12-23,2008-05-14,94380
2019-12-23,2019-12-23,2008-05-21,96396
2019-12-23,2019-12-23,2008-05-28,96430
2019-12-23,2019-12-23,2008-06-04,96459
2019-12-23,2019-12-23,2008-06-11,96485
2019-12-23,2019-12-23,2008-06-18,96510
2019-12-23,2019-12-23,2008-06-25,96535
2019-12-23,2019-12-23,2008-07-02,96563
2019-12-23,2019-12-23,2008-07-09,96597
2019-12-23,2019-12-23,2008-07-16,96631
2019-12-23,2019-12-23,2008-07-23,96665
2019-12-23,2019-12-23,2008-07-30,96699
2019-12-23,2019-12-23,2008-08-06,97424
2019-12-23,2019-12-23,2008-08-13,97467
2019-12-23,2019-12-23,2008-08-20,101237
2019-12-23,2019-12-23,2008-08-27,101280
2019-12-23,2019-12-23,2008-09-03,101314
2019-12-23,2019-12-23,2008-09-10,101337
2019-12-23,2019-12-23,2008-09-17,101361
2019-12-23,2019-12-23,2008-09-24,101384
2019-12-23,2019-12-23,2008-10-01,101401
2019-12-23,2019-12-23,2008-10-08,101384
2019-12-23,2019-12-23,2008-10-15,101367
2019-12-23,2019-12-23,2008-10-22,101350
2019-12-23,2019-12-23,2008-10-29,101333
2019-12-23,2019-12-23,2008-11-05,101323
2019-12-23,2019-12-23,2008-11-12,101317
2019-12-23,2019-12-23,2008-11-19,102035
2019-12-23,2019-12-23,2008-11-26,102028
2019-12-23,2019-12-23,2008-12-03,102007
2019-12-23,2019-12-23,2008-12-10,101964
2019-12-23,2019-12-23,2008-12-17,101921
2019-12-23,2019-12-23,2008-12-24,101871
2019-12-23,2019-12-23,2008-12-31,101834
2019-12-23,2019-12-23,2009-01-07,101753
2019-12-23,2019-12-23,2009-01-14,101672
2019-12-23,2019-12-23,2009-01-21,101591
2019-12-23,2019-12-23,2009-01-28,101510
2019-12-23,2019-12-23,2009-02-04,101448
2019-12-23,2019-12-23,2009-02-11,101401
2019-12-23,2019-12-23,2009-02-18,99489
2019-12-23,2019-12-23,2009-02-25,99442
2019-12-23,2019-12-23,2009-03-04,99432
2019-12-23,2019-12-23,2009-03-11,99449
2019-12-23,2019-12-23,2009-03-18,99663
2019-12-23,2019-12-23,2009-03-25,99681
2019-12-23,2019-12-23,2009-04-01,102198
2019-12-23,2019-12-23,2009-04-08,104749
