realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2007-08-15,241382
2019-12-23,2019-12-23,2007-08-22,234421
2019-12-23,2019-12-23,2007-08-29,234428
2019-12-23,2019-12-23,2007-09-05,237297
2019-12-23,2019-12-23,2007-09-12,237296
2019-12-23,2019-12-23,2007-09-19,235828
2019-12-23,2019-12-23,2007-09-26,235828
2019-12-23,2019-12-23,2007-10-03,237311
2019-12-23,2019-12-23,2007-10-10,237305
2019-12-23,2019-12-23,2007-10-17,236325
2019-12-23,2019-12-23,2007-10-24,236319
2019-12-23,2019-12-23,2007-10-31,243868
2019-12-23,2019-12-23,2007-11-07,241043
2019-12-23,2019-12-23,2007-11-14,241053
2019-12-23,2019-12-23,2007-11-21,231526
2019-12-23,2019-12-23,2007-11-28,231534
2019-12-23,2019-12-23,2007-12-05,234701
2019-12-23,2019-12-23,2007-12-12,234709
2019-12-23,2019-12-23,2007-12-19,233394
2019-12-23,2019-12-23,2007-12-26,233402
2019-12-23,2019-12-23,2008-01-02,235751
2019-12-23,2019-12-23,2008-01-09,235773
2019-12-23,2019-12-23,2008-01-16,231397
2019-12-23,2019-12-23,2008-01-23,231414
2019-12-23,2019-12-23,2008-01-30,231432
2019-12-23,2019-12-23,2008-02-06,233089
2019-12-23,2019-12-23,2008-02-13,233087
2019-12-23,2019-12-23,2008-02-20,231343
2019-12-23,2019-12-23,2008-02-27,231341
2019-12-23,2019-12-23,2008-03-05,231000
2019-12-23,2019-12-23,2008-03-12,231014
2019-12-23,2019-12-23,2008-03-19,224908
2019-12-23,2019-12-23,2008-03-26,214965
2019-12-23,2019-12-23,2008-04-02,206888
2019-12-23,2019-12-23,2008-04-09,196898
2019-12-23,2019-12-23,2008-04-16,195968
2019-12-23,2019-12-23,2008-04-23,195977
2019-12-23,2019-12-23,2008-04-30,197438
2019-12-23,2019-12-23,2008-05-07,192466
2019-12-23,2019-12-23,2008-05-14,187743
2019-12-23,2019-12-23,2008-05-21,176232
2019-12-23,2019-12-23,2008-05-28,171260
2019-12-23,2019-12-23,2008-06-04,171731
2019-12-23,2019-12-23,2008-06-11,171751
2019-12-23,2019-12-23,2008-06-18,171083
2019-12-23,2019-12-23,2008-06-25,171103
2019-12-23,2019-12-23,2008-07-02,173465
2019-12-23,2019-12-23,2008-07-09,173492
2019-12-23,2019-12-23,2008-07-16,172629
2019-12-23,2019-12-23,2008-07-23,172656
2019-12-23,2019-12-23,2008-07-30,172683
2019-12-23,2019-12-23,2008-08-06,175563
2019-12-23,2019-12-23,2008-08-13,175596
2019-12-23,2019-12-23,2008-08-20,169506
2019-12-23,2019-12-23,2008-08-27,169539
2019-12-23,2019-12-23,2008-09-03,170789
2019-12-23,2019-12-23,2008-09-10,170807
2019-12-23,2019-12-23,2008-09-17,170676
2019-12-23,2019-12-23,2008-09-24,170694
2019-12-23,2019-12-23,2008-10-01,174098
2019-12-23,2019-12-23,2008-10-08,174085
2019-12-23,2019-12-23,2008-10-15,173462
2019-12-23,2019-12-23,2008-10-22,173449
2019-12-23,2019-12-23,2008-10-29,173435
2019-12-23,2019-12-23,2008-11-05,173414
2019-12-23,2019-12-23,2008-11-12,173409
2019-12-23,2019-12-23,2008-11-19,170928
2019-12-23,2019-12-23,2008-11-26,170923
2019-12-23,2019-12-23,2008-12-03,171701
2019-12-23,2019-12-23,2008-12-10,171667
2019-12-23,2019-12-23,2008-12-17,172076
2019-12-23,2019-12-23,2008-12-24,172038
2019-12-23,2019-12-23,2008-12-31,173328
2019-12-23,2019-12-23,2009-01-07,173264
2019-12-23,2019-12-23,2009-01-14,173973
2019-12-23,2019-12-23,2009-01-21,173147
2019-12-23,2019-12-23,2009-01-28,173087
2019-12-23,2019-12-23,2009-02-04,174089
2019-12-23,2019-12-23,2009-02-11,174054
2019-12-23,2019-12-23,2009-02-18,168008
2019-12-23,2019-12-23,2009-02-25,167973
2019-12-23,2019-12-23,2009-03-04,168922
2019-12-23,2019-12-23,2009-03-11,168936
2019-12-23,2019-12-23,2009-03-18,168678
2019-12-23,2019-12-23,2009-03-25,168691
2019-12-23,2019-12-23,2009-04-01,175762
2019-12-23,2019-12-23,2009-04-08,188973
2019-12-23,2019-12-23,2009-04-15,202091
2019-12-23,2019-12-23,2009-04-22,202796
2019-12-23,2019-12-23,2009-04-29,216801
2019-12-23,2019-12-23,2009-05-06,216934
2019-12-23,2019-12-23,2009-05-13,229896
2019-12-23,2019-12-23,2009-05-20,235265
2019-12-23,2019-12-23,2009-05-27,241533
2019-12-23,2019-12-23,2009-06-03,247670
2019-12-23,2019-12-23,2009-06-10,255193
2019-12-23,2019-12-23,2009-06-17,261617
2019-12-23,2019-12-23,2009-06-24,262703
2019-12-23,2019-12-23,2009-07-01,261730
2019-12-23,2019-12-23,2009-07-08,266166
2019-12-23,2019-12-23,2009-07-15,277242
2019-12-23,2019-12-23,2009-07-22,277376
2019-12-23,2019-12-23,2009-07-29,277385
2019-12-23,2019-12-23,2009-08-05,282516
2019-12-23,2019-12-23,2009-08-12,295420
2019-12-23,2019-12-23,2009-08-19,306425
2019-12-23,2019-12-23,2009-08-26,312547
2019-12-23,2019-12-23,2009-09-02,317933
2019-12-23,2019-12-23,2009-09-09,317928
2019-12-23,2019-12-23,2009-09-16,317171
2019-12-23,2019-12-23,2009-09-23,322425
2019-12-23,2019-12-23,2009-09-30,324284
2019-12-23,2019-12-23,2009-10-07,324291
2019-12-23,2019-12-23,2009-10-14,324298
2019-12-23,2019-12-23,2009-10-21,324030
2019-12-23,2019-12-23,2009-10-28,324037
2019-12-23,2019-12-23,2009-11-04,326043
2019-12-23,2019-12-23,2009-11-11,326045
2019-12-23,2019-12-23,2009-11-18,331334
2019-12-23,2019-12-23,2009-11-25,331336
2019-12-23,2019-12-23,2009-12-02,330020
2019-12-23,2019-12-23,2009-12-09,330023
2019-12-23,2019-12-23,2009-12-16,329281
2019-12-23,2019-12-23,2009-12-23,329284
2019-12-23,2019-12-23,2009-12-30,329287
2019-12-23,2019-12-23,2010-01-06,326876
2019-12-23,2019-12-23,2010-01-13,326878
2019-12-23,2019-12-23,2010-01-20,327155
2019-12-23,2019-12-23,2010-01-27,327157
2019-12-23,2019-12-23,2010-02-03,326326
2019-12-23,2019-12-23,2010-02-10,326320
2019-12-23,2019-12-23,2010-02-17,337298
2019-12-23,2019-12-23,2010-02-24,337293
2019-12-23,2019-12-23,2010-03-03,333475
2019-12-23,2019-12-23,2010-03-10,333484
2019-12-23,2019-12-23,2010-03-17,333967
2019-12-23,2019-12-23,2010-03-24,333977
2019-12-23,2019-12-23,2010-03-31,331962
2019-12-23,2019-12-23,2010-04-07,331963
2019-12-23,2019-12-23,2010-04-14,331964
2019-12-23,2019-12-23,2010-04-21,331703
2019-12-23,2019-12-23,2010-04-28,331703
2019-12-23,2019-12-23,2010-05-05,327533
2019-12-23,2019-12-23,2010-05-12,327542
2019-12-23,2019-12-23,2010-05-19,340378
2019-12-23,2019-12-23,2010-05-26,340387
2019-12-23,2019-12-23,2010-06-02,332917
2019-12-23,2019-12-23,2010-06-09,332921
2019-12-23,2019-12-23,2010-06-16,333133
2019-12-23,2019-12-23,2010-06-23,333137
2019-12-23,2019-12-23,2010-06-30,332051
2019-12-23,2019-12-23,2010-07-07,332053
2019-12-23,2019-12-23,2010-07-14,332287
2019-12-23,2019-12-23,2010-07-21,332299
2019-12-23,2019-12-23,2010-07-28,332301
2019-12-23,2019-12-23,2010-08-04,331815
2019-12-23,2019-12-23,2010-08-11,331813
2019-12-23,2019-12-23,2010-08-18,341460
2019-12-23,2019-12-23,2010-08-25,342808
2019-12-23,2019-12-23,2010-09-01,341198
2019-12-23,2019-12-23,2010-09-08,343586
2019-12-23,2019-12-23,2010-09-15,345293
2019-12-23,2019-12-23,2010-09-22,350208
2019-12-23,2019-12-23,2010-09-29,354844
2019-12-23,2019-12-23,2010-10-06,353659
2019-12-23,2019-12-23,2010-10-13,355731
2019-12-23,2019-12-23,2010-10-20,359911
2019-12-23,2019-12-23,2010-10-27,362505
2019-12-23,2019-12-23,2010-11-03,364061
2019-12-23,2019-12-23,2010-11-10,367997
2019-12-23,2019-12-23,2010-11-17,379245
2019-12-23,2019-12-23,2010-11-24,387219
2019-12-23,2019-12-23,2010-12-01,397978
2019-12-23,2019-12-23,2010-12-08,409792
2019-12-23,2019-12-23,2010-12-15,408543
2019-12-23,2019-12-23,2010-12-22,427120
2019-12-23,2019-12-23,2010-12-29,433903
2019-12-23,2019-12-23,2011-01-05,439596
2019-12-23,2019-12-23,2011-01-12,452608
2019-12-23,2019-12-23,2011-01-19,456353
2019-12-23,2019-12-23,2011-01-26,471112
2019-12-23,2019-12-23,2011-02-02,483207
2019-12-23,2019-12-23,2011-02-09,490485
2019-12-23,2019-12-23,2011-02-16,500427
2019-12-23,2019-12-23,2011-02-23,507120
2019-12-23,2019-12-23,2011-03-02,525223
2019-12-23,2019-12-23,2011-03-09,538702
2019-12-23,2019-12-23,2011-03-16,534520
2019-12-23,2019-12-23,2011-03-23,547165
2019-12-23,2019-12-23,2011-03-30,565623
2019-12-23,2019-12-23,2011-04-06,579118
2019-12-23,2019-12-23,2011-04-13,585483
2019-12-23,2019-12-23,2011-04-20,591158
2019-12-23,2019-12-23,2011-04-27,591168
2019-12-23,2019-12-23,2011-05-04,617107
2019-12-23,2019-12-23,2011-05-11,630702
2019-12-23,2019-12-23,2011-05-18,648661
2019-12-23,2019-12-23,2011-05-25,655085
2019-12-23,2019-12-23,2011-06-01,676155
2019-12-23,2019-12-23,2011-06-08,682939
2019-12-23,2019-12-23,2011-06-15,692563
2019-12-23,2019-12-23,2011-06-22,694720
2019-12-23,2019-12-23,2011-06-29,703587
2019-12-23,2019-12-23,2011-07-06,708800
2019-12-23,2019-12-23,2011-07-13,713934
2019-12-23,2019-12-23,2011-07-20,710280
2019-12-23,2019-12-23,2011-07-27,710293
2019-12-23,2019-12-23,2011-08-03,715116
2019-12-23,2019-12-23,2011-08-10,715638
2019-12-23,2019-12-23,2011-08-17,709657
2019-12-23,2019-12-23,2011-08-24,709654
2019-12-23,2019-12-23,2011-08-31,718559
2019-12-23,2019-12-23,2011-09-07,715186
2019-12-23,2019-12-23,2011-09-14,715189
2019-12-23,2019-12-23,2011-09-21,714323
2019-12-23,2019-12-23,2011-09-28,714534
2019-12-23,2019-12-23,2011-10-05,717655
2019-12-23,2019-12-23,2011-10-12,717664
2019-12-23,2019-12-23,2011-10-19,706195
2019-12-23,2019-12-23,2011-10-26,697690
2019-12-23,2019-12-23,2011-11-02,679266
2019-12-23,2019-12-23,2011-11-09,679270
2019-12-23,2019-12-23,2011-11-16,692252
2019-12-23,2019-12-23,2011-11-23,674996
2019-12-23,2019-12-23,2011-11-30,687122
2019-12-23,2019-12-23,2011-12-07,672456
2019-12-23,2019-12-23,2011-12-14,672064
2019-12-23,2019-12-23,2011-12-21,667121
2019-12-23,2019-12-23,2011-12-28,650378
2019-12-23,2019-12-23,2012-01-04,651964
2019-12-23,2019-12-23,2012-01-11,642585
2019-12-23,2019-12-23,2012-01-18,638088
2019-12-23,2019-12-23,2012-01-25,629346
2019-12-23,2019-12-23,2012-02-01,625531
2019-12-23,2019-12-23,2012-02-08,624741
2019-12-23,2019-12-23,2012-02-15,627102
2019-12-23,2019-12-23,2012-02-22,603274
2019-12-23,2019-12-23,2012-02-29,600747
2019-12-23,2019-12-23,2012-03-07,599626
2019-12-23,2019-12-23,2012-03-14,591007
2019-12-23,2019-12-23,2012-03-21,581934
2019-12-23,2019-12-23,2012-03-28,574954
2019-12-23,2019-12-23,2012-04-04,575290
2019-12-23,2019-12-23,2012-04-11,575194
2019-12-23,2019-12-23,2012-04-18,566702
2019-12-23,2019-12-23,2012-04-25,549453
2019-12-23,2019-12-23,2012-05-02,551507
2019-12-23,2019-12-23,2012-05-09,549945
2019-12-23,2019-12-23,2012-05-16,547665
2019-12-23,2019-12-23,2012-05-23,543351
2019-12-23,2019-12-23,2012-05-30,545904
2019-12-23,2019-12-23,2012-06-06,544049
2019-12-23,2019-12-23,2012-06-13,534374
2019-12-23,2019-12-23,2012-06-20,532988
2019-12-23,2019-12-23,2012-06-27,524628
2019-12-23,2019-12-23,2012-07-04,527072
2019-12-23,2019-12-23,2012-07-11,527069
2019-12-23,2019-12-23,2012-07-18,512408
2019-12-23,2019-12-23,2012-07-25,504475
2019-12-23,2019-12-23,2012-08-01,502093
2019-12-23,2019-12-23,2012-08-08,502090
2019-12-23,2019-12-23,2012-08-15,513596
2019-12-23,2019-12-23,2012-08-22,497998
2019-12-23,2019-12-23,2012-08-29,490195
2019-12-23,2019-12-23,2012-09-05,492051
2019-12-23,2019-12-23,2012-09-12,487969
2019-12-23,2019-12-23,2012-09-19,472367
2019-12-23,2019-12-23,2012-09-26,464564
2019-12-23,2019-12-23,2012-10-03,461377
2019-12-23,2019-12-23,2012-10-10,454182
2019-12-23,2019-12-23,2012-10-17,446394
2019-12-23,2019-12-23,2012-10-24,429960
2019-12-23,2019-12-23,2012-10-31,424184
2019-12-23,2019-12-23,2012-11-07,416524
2019-12-23,2019-12-23,2012-11-14,418820
2019-12-23,2019-12-23,2012-11-21,403914
2019-12-23,2019-12-23,2012-11-28,396251
2019-12-23,2019-12-23,2012-12-05,395447
2019-12-23,2019-12-23,2012-12-12,387879
2019-12-23,2019-12-23,2012-12-19,372692
2019-12-23,2019-12-23,2012-12-26,365270
2019-12-23,2019-12-23,2013-01-02,378474
2019-12-23,2019-12-23,2013-01-09,383562
2019-12-23,2019-12-23,2013-01-16,386821
2019-12-23,2019-12-23,2013-01-23,386809
2019-12-23,2019-12-23,2013-01-30,400314
2019-12-23,2019-12-23,2013-02-06,400305
2019-12-23,2019-12-23,2013-02-13,400297
2019-12-23,2019-12-23,2013-02-20,416244
2019-12-23,2019-12-23,2013-02-27,433570
2019-12-23,2019-12-23,2013-03-06,438296
2019-12-23,2019-12-23,2013-03-13,438304
2019-12-23,2019-12-23,2013-03-20,442424
2019-12-23,2019-12-23,2013-03-27,442432
2019-12-23,2019-12-23,2013-04-03,462022
2019-12-23,2019-12-23,2013-04-10,462043
2019-12-23,2019-12-23,2013-04-17,467645
2019-12-23,2019-12-23,2013-04-24,467666
2019-12-23,2019-12-23,2013-05-01,491298
2019-12-23,2019-12-23,2013-05-08,491305
2019-12-23,2019-12-23,2013-05-15,516337
2019-12-23,2019-12-23,2013-05-22,520567
2019-12-23,2019-12-23,2013-05-29,520574
2019-12-23,2019-12-23,2013-06-05,544480
2019-12-23,2019-12-23,2013-06-12,544477
2019-12-23,2019-12-23,2013-06-19,547248
2019-12-23,2019-12-23,2013-06-26,547245
2019-12-23,2019-12-23,2013-07-03,567212
2019-12-23,2019-12-23,2013-07-10,569878
2019-12-23,2019-12-23,2013-07-17,570934
2019-12-23,2019-12-23,2013-07-24,570939
2019-12-23,2019-12-23,2013-07-31,595418
2019-12-23,2019-12-23,2013-08-07,599758
2019-12-23,2019-12-23,2013-08-14,622371
2019-12-23,2019-12-23,2013-08-21,622376
2019-12-23,2019-12-23,2013-08-28,627563
2019-12-23,2019-12-23,2013-09-04,646497
2019-12-23,2019-12-23,2013-09-11,646632
2019-12-23,2019-12-23,2013-09-18,646633
2019-12-23,2019-12-23,2013-09-25,646634
2019-12-23,2019-12-23,2013-10-02,659494
2019-12-23,2019-12-23,2013-10-09,659498
2019-12-23,2019-12-23,2013-10-16,662721
2019-12-23,2019-12-23,2013-10-23,662725
2019-12-23,2019-12-23,2013-10-30,685278
2019-12-23,2019-12-23,2013-11-06,685280
2019-12-23,2019-12-23,2013-11-13,688281
2019-12-23,2019-12-23,2013-11-20,721540
2019-12-23,2019-12-23,2013-11-27,726355
2019-12-23,2019-12-23,2013-12-04,742894
2019-12-23,2019-12-23,2013-12-11,748015
2019-12-23,2019-12-23,2013-12-18,748008
2019-12-23,2019-12-23,2013-12-25,750641
2019-12-23,2019-12-23,2014-01-01,763329
2019-12-23,2019-12-23,2014-01-08,763322
2019-12-23,2019-12-23,2014-01-15,765246
2019-12-23,2019-12-23,2014-01-22,767716
2019-12-23,2019-12-23,2014-01-29,767709
